UserID,Umur,Gender,Daerah,Kategori
U0001,67,P,Yogyakarta,Teknologi
U0002,39,P,Denpasar,Musik
U0003,31,P,Bogor,Kuliner
U0004,33,L,Pontianak,Olahraga
U0005,17,P,Bogor,Musik
U0006,58,P,Manado,Kuliner
U0007,33,P,Semarang,Travel
U0008,49,L,Palembang,Olahraga
U0009,50,P,Depok,Olahraga
U0010,63,P,Palembang,Musik
U0011,27,P,Batam,Edukasi
U0012,35,L,Palembang,Olahraga
U0013,42,L,Bekasi,Travel
U0014,20,P,Bekasi,Teknologi
U0015,31,L,Tangerang,Olahraga
U0016,24,P,Yogyakarta,Fashion
U0017,39,P,Medan,Game
U0018,36,L,Semarang,Musik
U0019,63,P,Bogor,Edukasi
U0020,60,L,Medan,Kuliner
U0021,65,P,Batam,Fashion
U0022,36,L,Padang,Film
U0023,43,L,Tangerang,Edukasi
U0024,73,P,Palembang,Olahraga
U0025,36,P,Manado,Musik
U0026,18,P,Pontianak,Edukasi
U0027,78,P,Depok,Film
U0028,42,P,Medan,Game
U0029,62,P,Batam,Film
U0030,17,P,Pontianak,Kuliner
U0031,48,L,Tangerang,Olahraga
U0032,51,P,Jakarta,Film
U0033,71,L,Bogor,Fashion
U0034,26,P,Medan,Game
U0035,46,P,Bogor,Edukasi
U0036,61,L,Batam,Musik
U0037,54,L,Medan,Teknologi
U0038,58,P,Pontianak,Game
U0039,55,L,Palembang,Fashion
U0040,34,P,Bandung,Teknologi
U0041,45,L,Bogor,Musik
U0042,32,L,Denpasar,Kuliner
U0043,67,P,Bogor,Film
U0044,26,L,Pontianak,Game
U0045,73,P,Bogor,Musik
U0046,40,L,Makassar,Teknologi
U0047,55,L,Tangerang,Musik
U0048,58,P,Depok,Musik
U0049,39,P,Bekasi,Game
U0050,55,L,Jakarta,Olahraga
U0051,18,L,Balikpapan,Musik
U0052,50,L,Denpasar,Game
U0053,67,P,Manado,Travel
U0054,21,P,Surabaya,Edukasi
U0055,19,L,Jakarta,Film
U0056,61,P,Semarang,Game
U0057,26,P,Bekasi,Film
U0058,24,P,Palembang,Kuliner
U0059,31,L,Manado,Olahraga
U0060,57,L,Bekasi,Game
U0061,72,L,Padang,Fashion
U0062,24,P,Makassar,Teknologi
U0063,27,P,Bekasi,Game
U0064,35,P,Batam,Teknologi
U0065,76,P,Manado,Edukasi
U0066,73,P,Jakarta,Travel
U0067,40,L,Denpasar,Musik
U0068,46,P,Balikpapan,Teknologi
U0069,34,P,Palembang,Game
U0070,66,P,Semarang,Travel
U0071,38,L,Bogor,Fashion
U0072,40,P,Makassar,Edukasi
U0073,60,L,Semarang,Teknologi
U0074,43,L,Batam,Olahraga
U0075,28,L,Bogor,Olahraga
U0076,61,P,Bogor,Travel
U0077,57,P,Yogyakarta,Travel
U0078,71,L,Palembang,Musik
U0079,56,P,Manado,Fashion
U0080,59,P,Tangerang,Kuliner
U0081,29,P,Jakarta,Musik
U0082,62,L,Manado,Fashion
U0083,21,P,Depok,Game
U0084,53,P,Pontianak,Teknologi
U0085,34,L,Pontianak,Film
U0086,64,P,Jakarta,Travel
U0087,27,P,Bogor,Edukasi
U0088,35,L,Batam,Film
U0089,28,P,Medan,Fashion
U0090,17,L,Jakarta,Film
U0091,71,P,Depok,Edukasi
U0092,72,L,Balikpapan,Olahraga
U0093,32,P,Bandung,Musik
U0094,71,L,Yogyakarta,Olahraga
U0095,78,L,Bandung,Travel
U0096,66,L,Palembang,Game
U0097,19,L,Depok,Edukasi
U0098,25,L,Padang,Travel
U0099,21,P,Tangerang,Fashion
U0100,51,P,Balikpapan,Kuliner
U0101,54,P,Denpasar,Travel
U0102,76,L,Bandung,Edukasi
U0103,19,L,Denpasar,Edukasi
U0104,52,L,Balikpapan,Edukasi
U0105,71,L,Medan,Fashion
U0106,68,P,Bogor,Musik
U0107,28,L,Tangerang,Kuliner
U0108,26,L,Semarang,Teknologi
U0109,62,P,Semarang,Musik
U0110,21,L,Depok,Game
U0111,72,L,Pontianak,Film
U0112,52,P,Medan,Fashion
U0113,54,L,Semarang,Fashion
U0114,61,P,Denpasar,Game
U0115,52,P,Bekasi,Teknologi
U0116,34,L,Bandung,Game
U0117,58,P,Palembang,Film
U0118,54,L,Depok,Film
U0119,30,L,Bogor,Teknologi
U0120,45,L,Denpasar,Game
U0121,37,P,Bekasi,Olahraga
U0122,27,L,Bekasi,Edukasi
U0123,72,L,Bogor,Kuliner
U0124,38,P,Bogor,Edukasi
U0125,22,L,Padang,Olahraga
U0126,52,L,Balikpapan,Fashion
U0127,68,P,Pontianak,Musik
U0128,33,L,Pontianak,Edukasi
U0129,25,P,Pontianak,Game
U0130,74,P,Makassar,Fashion
U0131,76,P,Surabaya,Travel
U0132,76,L,Depok,Game
U0133,44,P,Tangerang,Edukasi
U0134,28,L,Denpasar,Kuliner
U0135,34,P,Denpasar,Film
U0136,71,L,Yogyakarta,Olahraga
U0137,28,P,Denpasar,Film
U0138,60,P,Depok,Teknologi
U0139,32,L,Bandung,Travel
U0140,59,L,Manado,Olahraga
U0141,64,P,Bekasi,Musik
U0142,63,L,Bandung,Musik
U0143,22,P,Pontianak,Kuliner
U0144,53,L,Semarang,Teknologi
U0145,58,P,Denpasar,Fashion
U0146,21,P,Surabaya,Kuliner
U0147,47,L,Surabaya,Film
U0148,25,L,Tangerang,Teknologi
U0149,72,L,Denpasar,Edukasi
U0150,26,P,Manado,Fashion
U0151,30,P,Bandung,Fashion
U0152,42,L,Palembang,Fashion
U0153,71,L,Medan,Edukasi
U0154,73,P,Bekasi,Teknologi
U0155,44,L,Jakarta,Travel
U0156,23,P,Medan,Kuliner
U0157,43,L,Batam,Kuliner
U0158,66,P,Semarang,Travel
U0159,45,L,Jakarta,Game
U0160,44,P,Semarang,Edukasi
U0161,79,P,Bogor,Kuliner
U0162,21,L,Jakarta,Musik
U0163,62,L,Tangerang,Musik
U0164,35,P,Surabaya,Teknologi
U0165,60,L,Palembang,Fashion
U0166,70,L,Yogyakarta,Game
U0167,27,L,Denpasar,Film
U0168,53,L,Bekasi,Fashion
U0169,39,P,Tangerang,Edukasi
U0170,75,P,Tangerang,Teknologi
U0171,32,P,Bekasi,Travel
U0172,23,P,Bogor,Travel
U0173,68,L,Palembang,Game
U0174,26,L,Yogyakarta,Game
U0175,76,L,Palembang,Kuliner
U0176,40,P,Balikpapan,Teknologi
U0177,50,P,Jakarta,Fashion
U0178,26,P,Bekasi,Travel
U0179,67,P,Jakarta,Game
U0180,80,P,Jakarta,Olahraga
U0181,32,P,Surabaya,Edukasi
U0182,66,P,Medan,Teknologi
U0183,25,L,Manado,Game
U0184,74,L,Semarang,Fashion
U0185,46,L,Bandung,Olahraga
U0186,52,L,Tangerang,Kuliner
U0187,17,P,Bogor,Film
U0188,27,P,Palembang,Game
U0189,55,L,Padang,Musik
U0190,20,P,Palembang,Musik
U0191,48,L,Bogor,Teknologi
U0192,34,P,Balikpapan,Kuliner
U0193,55,L,Denpasar,Fashion
U0194,78,L,Makassar,Film
U0195,46,P,Padang,Kuliner
U0196,44,P,Pontianak,Teknologi
U0197,35,P,Batam,Travel
U0198,52,P,Bogor,Teknologi
U0199,74,L,Batam,Teknologi
U0200,27,L,Balikpapan,Film
U0201,34,P,Depok,Musik
U0202,70,P,Semarang,Film
U0203,77,P,Pontianak,Musik
U0204,32,P,Denpasar,Travel
U0205,75,P,Jakarta,Fashion
U0206,68,L,Semarang,Teknologi
U0207,17,P,Makassar,Kuliner
U0208,51,P,Denpasar,Film
U0209,78,P,Semarang,Musik
U0210,44,P,Palembang,Kuliner
U0211,35,P,Surabaya,Musik
U0212,63,P,Denpasar,Kuliner
U0213,21,P,Bandung,Olahraga
U0214,56,L,Tangerang,Musik
U0215,47,L,Medan,Edukasi
U0216,54,P,Batam,Travel
U0217,37,L,Jakarta,Musik
U0218,78,P,Batam,Fashion
U0219,58,L,Batam,Teknologi
U0220,29,P,Tangerang,Teknologi
U0221,23,L,Medan,Teknologi
U0222,50,P,Manado,Game
U0223,26,L,Surabaya,Teknologi
U0224,22,P,Manado,Kuliner
U0225,46,P,Medan,Game
U0226,20,L,Surabaya,Game
U0227,17,L,Depok,Teknologi
U0228,68,L,Depok,Fashion
U0229,22,P,Palembang,Kuliner
U0230,23,L,Semarang,Game
U0231,35,L,Denpasar,Travel
U0232,49,P,Bandung,Fashion
U0233,57,P,Bandung,Edukasi
U0234,38,L,Batam,Game
U0235,42,L,Palembang,Game
U0236,18,P,Bogor,Edukasi
U0237,28,P,Manado,Teknologi
U0238,52,P,Pontianak,Travel
U0239,58,L,Padang,Fashion
U0240,72,L,Surabaya,Film
U0241,26,L,Bogor,Kuliner
U0242,25,P,Depok,Teknologi
U0243,29,L,Jakarta,Edukasi
U0244,70,P,Makassar,Olahraga
U0245,42,P,Tangerang,Fashion
U0246,54,P,Batam,Teknologi
U0247,73,L,Yogyakarta,Olahraga
U0248,48,P,Batam,Film
U0249,40,L,Bandung,Travel
U0250,39,P,Semarang,Film
U0251,26,P,Tangerang,Game
U0252,61,P,Balikpapan,Olahraga
U0253,36,L,Semarang,Game
U0254,43,L,Bekasi,Travel
U0255,21,P,Bekasi,Edukasi
U0256,19,L,Bogor,Fashion
U0257,28,L,Depok,Game
U0258,56,L,Bogor,Film
U0259,22,P,Depok,Travel
U0260,43,L,Palembang,Travel
U0261,42,P,Balikpapan,Kuliner
U0262,29,L,Yogyakarta,Travel
U0263,60,P,Padang,Musik
U0264,42,L,Bekasi,Fashion
U0265,65,L,Makassar,Travel
U0266,40,P,Balikpapan,Teknologi
U0267,30,P,Denpasar,Olahraga
U0268,63,L,Jakarta,Olahraga
U0269,57,P,Bogor,Game
U0270,19,L,Depok,Film
U0271,43,L,Bekasi,Teknologi
U0272,58,L,Jakarta,Edukasi
U0273,24,P,Bogor,Teknologi
U0274,68,P,Yogyakarta,Teknologi
U0275,74,P,Manado,Game
U0276,27,P,Pontianak,Olahraga
U0277,50,P,Padang,Film
U0278,74,P,Yogyakarta,Game
U0279,79,P,Denpasar,Teknologi
U0280,19,L,Jakarta,Travel
U0281,66,L,Pontianak,Film
U0282,56,L,Jakarta,Olahraga
U0283,41,L,Pontianak,Edukasi
U0284,28,L,Depok,Game
U0285,68,P,Bogor,Musik
U0286,36,L,Padang,Travel
U0287,74,P,Pontianak,Fashion
U0288,56,L,Makassar,Film
U0289,72,P,Medan,Game
U0290,19,L,Bandung,Game
U0291,46,P,Tangerang,Edukasi
U0292,75,L,Makassar,Film
U0293,80,P,Bogor,Edukasi
U0294,27,P,Bogor,Edukasi
U0295,40,P,Bogor,Travel
U0296,67,L,Surabaya,Teknologi
U0297,38,L,Pontianak,Film
U0298,66,P,Manado,Film
U0299,69,L,Surabaya,Fashion
U0300,67,P,Semarang,Fashion
U0301,79,L,Bogor,Fashion
U0302,21,P,Medan,Fashion
U0303,22,P,Yogyakarta,Olahraga
U0304,52,L,Medan,Kuliner
U0305,60,L,Manado,Kuliner
U0306,41,L,Yogyakarta,Olahraga
U0307,51,P,Bekasi,Edukasi
U0308,59,L,Palembang,Fashion
U0309,55,P,Padang,Film
U0310,58,P,Batam,Kuliner
U0311,66,L,Bogor,Teknologi
U0312,45,L,Tangerang,Edukasi
U0313,72,P,Makassar,Olahraga
U0314,37,P,Bekasi,Olahraga
U0315,33,L,Makassar,Kuliner
U0316,30,P,Jakarta,Teknologi
U0317,62,P,Balikpapan,Teknologi
U0318,62,P,Palembang,Fashion
U0319,26,L,Balikpapan,Edukasi
U0320,55,P,Yogyakarta,Edukasi
U0321,23,L,Medan,Kuliner
U0322,33,L,Bogor,Fashion
U0323,48,P,Palembang,Musik
U0324,49,P,Tangerang,Teknologi
U0325,20,L,Pontianak,Edukasi
U0326,37,L,Palembang,Game
U0327,36,P,Makassar,Edukasi
U0328,79,L,Makassar,Kuliner
U0329,74,L,Manado,Film
U0330,24,L,Bandung,Film
U0331,17,P,Denpasar,Film
U0332,60,P,Bogor,Teknologi
U0333,51,P,Yogyakarta,Game
U0334,51,L,Padang,Film
U0335,49,P,Padang,Travel
U0336,52,L,Denpasar,Olahraga
U0337,21,P,Bekasi,Teknologi
U0338,34,L,Palembang,Film
U0339,47,L,Jakarta,Fashion
U0340,72,P,Bogor,Film
U0341,29,L,Yogyakarta,Teknologi
U0342,72,P,Surabaya,Edukasi
U0343,73,P,Denpasar,Edukasi
U0344,18,P,Padang,Olahraga
U0345,80,L,Batam,Film
U0346,19,P,Tangerang,Fashion
U0347,66,P,Makassar,Fashion
U0348,21,L,Padang,Travel
U0349,63,P,Denpasar,Musik
U0350,44,L,Denpasar,Olahraga
U0351,49,L,Bekasi,Film
U0352,68,P,Denpasar,Game
U0353,27,L,Medan,Travel
U0354,31,L,Manado,Fashion
U0355,51,P,Balikpapan,Kuliner
U0356,58,P,Semarang,Kuliner
U0357,27,L,Bandung,Kuliner
U0358,56,L,Palembang,Teknologi
U0359,55,L,Manado,Edukasi
U0360,70,L,Padang,Film
U0361,74,L,Makassar,Film
U0362,70,L,Semarang,Musik
U0363,27,P,Depok,Film
U0364,41,L,Manado,Edukasi
U0365,55,L,Jakarta,Film
U0366,78,L,Yogyakarta,Game
U0367,28,P,Medan,Game
U0368,56,P,Manado,Teknologi
U0369,71,L,Makassar,Musik
U0370,51,P,Depok,Travel
U0371,74,P,Tangerang,Game
U0372,23,P,Makassar,Kuliner
U0373,78,P,Bandung,Olahraga
U0374,70,L,Balikpapan,Fashion
U0375,29,L,Makassar,Kuliner
U0376,46,L,Denpasar,Kuliner
U0377,39,P,Bekasi,Teknologi
U0378,43,P,Balikpapan,Edukasi
U0379,64,L,Batam,Musik
U0380,25,L,Bekasi,Kuliner
U0381,76,P,Semarang,Musik
U0382,72,L,Depok,Olahraga
U0383,40,L,Bogor,Edukasi
U0384,36,L,Padang,Edukasi
U0385,52,L,Jakarta,Game
U0386,28,L,Batam,Musik
U0387,48,L,Manado,Travel
U0388,67,L,Manado,Teknologi
U0389,31,P,Bekasi,Olahraga
U0390,22,P,Balikpapan,Kuliner
U0391,70,P,Bekasi,Fashion
U0392,48,P,Bekasi,Travel
U0393,58,L,Batam,Musik
U0394,40,L,Palembang,Olahraga
U0395,66,L,Bekasi,Olahraga
U0396,53,L,Tangerang,Edukasi
U0397,51,P,Padang,Game
U0398,41,P,Depok,Teknologi
U0399,35,P,Denpasar,Kuliner
U0400,67,L,Bekasi,Fashion
U0401,27,L,Tangerang,Edukasi
U0402,51,P,Depok,Olahraga
U0403,80,P,Yogyakarta,Film
U0404,47,L,Tangerang,Kuliner
U0405,67,P,Denpasar,Kuliner
U0406,78,L,Batam,Travel
U0407,30,L,Bogor,Film
U0408,66,P,Medan,Musik
U0409,21,L,Depok,Fashion
U0410,64,P,Depok,Game
U0411,41,L,Makassar,Travel
U0412,59,L,Semarang,Teknologi
U0413,55,P,Bekasi,Musik
U0414,60,P,Medan,Kuliner
U0415,65,L,Tangerang,Olahraga
U0416,70,L,Pontianak,Film
U0417,36,P,Surabaya,Kuliner
U0418,24,L,Jakarta,Edukasi
U0419,56,P,Semarang,Olahraga
U0420,68,L,Depok,Travel
U0421,73,P,Manado,Film
U0422,62,L,Palembang,Musik
U0423,62,P,Semarang,Teknologi
U0424,25,L,Medan,Travel
U0425,44,L,Bekasi,Film
U0426,59,P,Surabaya,Kuliner
U0427,24,P,Makassar,Olahraga
U0428,39,P,Jakarta,Edukasi
U0429,48,L,Manado,Game
U0430,73,L,Palembang,Teknologi
U0431,40,L,Manado,Game
U0432,28,L,Manado,Travel
U0433,70,L,Pontianak,Fashion
U0434,28,P,Batam,Game
U0435,73,L,Batam,Olahraga
U0436,64,P,Semarang,Game
U0437,42,P,Denpasar,Travel
U0438,61,L,Balikpapan,Travel
U0439,79,P,Semarang,Kuliner
U0440,58,P,Balikpapan,Film
U0441,35,L,Tangerang,Edukasi
U0442,62,P,Medan,Game
U0443,56,L,Medan,Film
U0444,67,L,Denpasar,Fashion
U0445,66,P,Medan,Travel
U0446,51,L,Denpasar,Travel
U0447,19,L,Bogor,Olahraga
U0448,59,L,Balikpapan,Kuliner
U0449,39,L,Tangerang,Film
U0450,23,L,Palembang,Travel
U0451,74,P,Depok,Olahraga
U0452,28,P,Denpasar,Film
U0453,77,L,Palembang,Film
U0454,37,P,Balikpapan,Teknologi
U0455,72,P,Depok,Fashion
U0456,64,L,Denpasar,Kuliner
U0457,58,L,Padang,Game
U0458,61,L,Bekasi,Game
U0459,56,L,Palembang,Film
U0460,38,P,Manado,Teknologi
U0461,74,P,Makassar,Teknologi
U0462,54,P,Makassar,Edukasi
U0463,32,L,Tangerang,Travel
U0464,77,L,Tangerang,Olahraga
U0465,47,L,Palembang,Film
U0466,39,P,Bekasi,Film
U0467,40,P,Bandung,Travel
U0468,63,P,Makassar,Fashion
U0469,42,P,Bandung,Fashion
U0470,73,L,Bekasi,Kuliner
U0471,44,P,Batam,Olahraga
U0472,80,P,Balikpapan,Olahraga
U0473,55,L,Bogor,Olahraga
U0474,26,L,Semarang,Olahraga
U0475,44,L,Jakarta,Film
U0476,73,P,Pontianak,Musik
U0477,60,P,Bogor,Game
U0478,43,L,Medan,Edukasi
U0479,74,L,Denpasar,Game
U0480,38,L,Yogyakarta,Travel
U0481,67,L,Tangerang,Travel
U0482,76,P,Palembang,Fashion
U0483,24,L,Balikpapan,Film
U0484,63,P,Balikpapan,Teknologi
U0485,39,L,Semarang,Musik
U0486,80,L,Medan,Olahraga
U0487,72,L,Batam,Travel
U0488,80,P,Bandung,Olahraga
U0489,72,P,Balikpapan,Fashion
U0490,75,P,Denpasar,Fashion
U0491,37,P,Balikpapan,Olahraga
U0492,32,P,Medan,Edukasi
U0493,54,L,Bandung,Travel
U0494,59,P,Bandung,Musik
U0495,58,P,Bandung,Kuliner
U0496,52,L,Denpasar,Film
U0497,23,L,Balikpapan,Musik
U0498,17,P,Bogor,Kuliner
U0499,60,P,Medan,Fashion
U0500,76,P,Batam,Edukasi
U0501,45,P,Bandung,Olahraga
U0502,21,P,Yogyakarta,Game
U0503,66,L,Yogyakarta,Fashion
U0504,24,L,Bandung,Musik
U0505,47,L,Bogor,Olahraga
U0506,73,L,Manado,Musik
U0507,29,L,Bandung,Edukasi
U0508,58,P,Jakarta,Olahraga
U0509,74,L,Depok,Game
U0510,38,P,Bandung,Travel
U0511,19,L,Medan,Olahraga
